qid,lens,defect,defect_class,severity,action,note
2009h21a-q093,L4_verify_figure_missing,true,figure_missing,critical,add_figure,page-37、選択肢下は空白。スプレッドシート図が紙面に不在。要再取得。
2009h21a-q097,L4_verify_figure,true,has_figure_orphan,minor,attach_shared_figure,中問C(問97-100)共有図1がpage-40。q097が親。
2009h21a-q099,L1_recover_stem,true,stem_contamination,critical,recover_stem,真stem=請求書/図1図2参照回数。記録stemに問100+表計算仕様+注意事項が付着。図は中問C共有(page-40)。
2010h22h-q045,L1_recover_stem,true,stem_contamination,critical,recover_stem,真stem=内部統制(page-20)。記録stemは表紙注意事項。has_figure=trueも誤り→demote。選択肢(株主/監査役/経営者/内部監査人)正答ウ整合。
2010h22h-q099,L4_verify_figure_missing,true,has_figure_orphan,minor,demote_has_figure,問99はテキスト選択問題、固有図なし。figures/2010h22h-q099.png孤児(中身は問100表)。has_figure→false。
2011h23tokubetsu-q045,L1_recover_stem,true,stem_contamination,critical,recover_stem,真stem=WBS作成目的(page-16)。記録stemは表紙注意事項。has_figure=true誤り→demote。正答イ(成果物)整合。
2011h23tokubetsu-q097,L4_verify_figure_missing,true,figure_missing,critical,attach_shared_figure,中問C共有図1=懸賞ページ案(page-39)。has_figure=false誤り。
2018h30h-q001,L1_recover_stem,true,stem_contamination,minor,recover_stem,真stem=市場浸透(page-02)。記録stem先頭に表紙注意事項prefix付着。
2018h30h-q006,L2_verify_dup,false,none,none,accept_no_defect,page-04の問6(非機能要件)と一致。本物。
2018h30h-q008,L2_verify_dup,true,duplicate_extraction,critical,flag_for_user,記録stemはq006(非機能要件)の複製。page-05の真の問8はマイナンバー取扱い。完全に誤った内容。要全文再抽出。
2018h30h-q010,L2_verify_dup,false,none,none,accept_no_defect,page-06の問10(著作権)と一致。本物。
2018h30h-q100,L2_verify_dup,true,duplicate_extraction,critical,flag_for_user,記録stemはq010(著作権)の複製。page-43の真の問100は無線LAN/ESSID(表図あり)。誤stem。figure_pathは正しく無線LAN図を指す。要全文再抽出+has_figure=true。
2009h21h-q089,L4_verify_figure,true,has_figure_orphan,minor,attach_shared_figure,中問A共有図LAN構成(page-34)。q089固有図なし。
2009h21h-q093,L4_verify_figure,true,has_figure_orphan,minor,attach_shared_figure,中問B共有図2会員利用分析表(page-38)。q093固有図なし。
2010h22a-q061,L4_verify_figure,true,has_figure_orphan,critical,add_figure,"page-23に社員コード/チェックディジット表(y52-75%)実在。has_figure=true,path=null。"
2010h22a-q064,L4_verify_figure,true,has_figure_orphan,critical,add_figure,page-24下部に4システム構成ブロック図(y68-92%)実在。path=null。
2010h22a-q072,L4_verify_figure_missing,true,figure_ref_mismatch,critical,fix_has_figure_true,page-28に図1(4x4グリッド)図2(最短経路ツリー)実在。has_figure=false誤り(figure_path既設)。
2010h22a-q085,L4_verify_figure_missing,true,figure_ref_mismatch,critical,fix_has_figure_true,page-33に図1(3x3)図2(5x5)画素図実在。has_figure=false誤り(figure_path既設)。
2010h22a-q090,L4_verify_figure_missing,true,figure_missing,critical,add_figure,"page-36に表2出力結果表実在。中問A表1(page-35)も関連。has_figure=false,path=null。"
2012h24a-q085,L4_verify_figure,true,has_figure_orphan,critical,attach_shared_figure,中問A共有図1ワークシート(page-33)。
2012h24a-q088,L4_verify_figure,true,has_figure_orphan,critical,attach_shared_figure,問88本文はpage-36(図あり)だがpage_imageはpage-37(選択肢のみ)を指す。page_image修正も要。
2012h24a-q093,L4_verify_figure_missing,true,figure_missing,critical,attach_shared_figure,中問C共有図2(page-41)。has_figure=false誤り。
2012h24a-q094,L4_verify_figure_missing,true,figure_missing,critical,attach_shared_figure,中問C共有図2(page-41)。
2012h24a-q095,L4_verify_figure_missing,true,figure_missing,critical,attach_shared_figure,中問C共有図2(page-41)。
2012h24a-q096,L4_verify_figure,true,has_figure_orphan,critical,attach_shared_figure,中問C共有図2(page-41)。固有図なしだが参照は正当。
2013h25a-q088,L4_verify_figure_missing,false,shared_preamble,none,accept_no_defect,中問B共有図1ガントチャート(page-31)。has_figure=false正当。
2013h25a-q095,L4_verify_figure_missing,false,shared_preamble,none,accept_no_defect,中問C共有表1ファイル名規則(page-39)。has_figure=false正当。
2013h25a-q098,L4_verify_figure,true,has_figure_orphan,critical,add_figure,page-44下部(y62-88%)にa/b組合せ表実在。固有表。path=null。
2013h25h-q093,L4_verify_figure_missing,false,shared_preamble,none,accept_no_defect,中問C共有図1(page-42)。
2013h25h-q094,L4_verify_figure_missing,false,shared_preamble,none,accept_no_defect,中問C共有図2グラフ(page-42)。
2013h25h-q095,L4_verify_figure_missing,false,shared_preamble,none,accept_no_defect,中問C共有図1図2(page-42)。
2013h25h-q097,L4_verify_figure_missing,false,shared_preamble,none,accept_no_defect,中問D共有図1経路図(page-45)。
2014h26a-q087,L4_verify_figure_missing,true,figure_missing,critical,add_figure,page-36に表2作業分割実在(y35-55%)。has_figure=false(figure_path既設だが未裁剪)。
2014h26a-q092,L4_verify_figure_missing,true,figure_missing,critical,add_figure,page-40に表2加工作業実在(y38-60%)。未裁剪。
